time (minutes),A,B
15.8275,34624.6809458868,57707.2185213991
15.8283333333333,34624.6809459039,57707.218689792
15.8291666666667,34624.680945921,57707.2188581363
15.83,34624.680945938,57707.219026432
15.8308333333333,34624.680945955,57707.219194679
15.8316666666667,34624.6809459721,57707.2193628775
15.8325,34624.6809459891,57707.2195310275
15.8333333333333,34624.6809460061,57707.2196991288
15.8341666666667,34624.6809460231,57707.2198671817
15.835,34624.6809460401,57707.220035186
15.8358333333333,34624.6809460571,57707.2202031417
15.8366666666667,34624.6809460741,57707.220371049
15.8375,34624.6809460911,57707.2205389078
15.8383333333333,34624.680946108,57707.2207067182
15.8391666666667,34624.680946125,57707.22087448
15.84,34624.6809461419,57707.2210421935
15.8408333333333,34624.6809461589,57707.2212098585
15.8416666666667,34624.6809461758,57707.221377475
15.8425,34624.6809461927,57707.2215450432
15.8433333333333,34624.6809462096,57707.221712563
15.8441666666667,34624.6809462265,57707.2218800344
15.845,34624.6809462434,57707.2220474575
15.8458333333333,34624.6809462603,57707.2222148322
15.8466666666667,34624.6809462772,57707.2223821586
15.8475,34624.6809462941,57707.2225494367
15.8483333333333,34624.680946311,57707.2227166664
15.8491666666667,34624.6809463278,57707.2228838479
15.85,34624.6809463447,57707.2230509811
15.8508333333333,34624.6809463615,57707.223218066
15.8516666666667,34624.6809463784,57707.2233851027
15.8525,34624.6809463952,57707.2235520912
15.8533333333333,34624.680946412,57707.2237190314
15.8541666666667,34624.6809464288,57707.2238859234
15.855,34624.6809464456,57707.2240527673
15.8558333333333,34624.6809464624,57707.2242195629
15.8566666666667,34624.6809464792,57707.2243863104
15.8575,34624.680946496,57707.2245530098
15.8583333333333,34624.6809465127,57707.224719661
15.8591666666667,34624.6809465295,57707.2248862641
15.86,34624.6809465463,57707.225052819
15.8608333333333,34624.680946563,57707.2252193259
15.8616666666667,34624.6809465797,57707.2253857847
15.8625,34624.6809465965,57707.2255521954
15.8633333333333,34624.6809466132,57707.2257185581
15.8641666666667,34624.6809466299,57707.2258848728
15.865,34624.6809466466,57707.2260511394
15.8658333333333,34624.6809466633,57707.226217358
15.8666666666667,34624.68094668,57707.2263835286
15.8675,34624.6809466967,57707.2265496512
15.8683333333333,34624.6809467134,57707.2267157258
15.8691666666667,34624.68094673,57707.2268817525
15.87,34624.6809467467,57707.2270477313
15.8708333333333,34624.6809467633,57707.2272136621
15.8716666666667,34624.68094678,57707.227379545
15.8725,34624.6809467966,57707.22754538
15.8733333333333,34624.6809468132,57707.2277111672
15.8741666666667,34624.6809468298,57707.2278769064
15.875,34624.6809468464,57707.2280425978
15.8758333333333,34624.6809468631,57707.2282082413
15.8766666666667,34624.6809468796,57707.228373837
15.8775,34624.6809468962,57707.2285393849
15.8783333333333,34624.6809469128,57707.228704885
15.8791666666667,34624.6809469294,57707.2288703373
15.88,34624.6809469459,57707.2290357418
15.8808333333333,34624.6809469625,57707.2292010986
15.8816666666667,34624.680946979,57707.2293664076
15.8825,34624.6809469956,57707.2295316689
15.8833333333333,34624.6809470121,57707.2296968824
15.8841666666667,34624.6809470286,57707.2298620483
15.885,34624.6809470451,57707.2300271664
15.8858333333333,34624.6809470616,57707.2301922369
15.8866666666667,34624.6809470781,57707.2303572597
15.8875,34624.6809470946,57707.2305222349
15.8883333333333,34624.6809471111,57707.2306871624
15.8891666666667,34624.6809471276,57707.2308520423
15.89,34624.6809471441,57707.2310168745
15.8908333333333,34624.6809471605,57707.2311816592
15.8916666666667,34624.680947177,57707.2313463963
15.8925,34624.6809471934,57707.2315110858
15.8933333333333,34624.6809472098,57707.2316757278
15.8941666666667,34624.6809472263,57707.2318403222
15.895,34624.6809472427,57707.2320048691
15.8958333333333,34624.6809472591,57707.2321693685
15.8966666666667,34624.6809472755,57707.2323338204
15.8975,34624.6809472919,57707.2324982248
15.8983333333333,34624.6809473083,57707.2326625817
15.8991666666667,34624.6809473247,57707.2328268912
15.9,34624.680947341,57707.2329911532
15.9008333333333,34624.6809473574,57707.2331553678
15.9016666666667,34624.6809473737,57707.2333195349
15.9025,34624.6809473901,57707.2334836547
15.9033333333333,34624.6809474064,57707.2336477271
15.9041666666667,34624.6809474228,57707.2338117521
15.905,34624.6809474391,57707.2339757297
15.9058333333333,34624.6809474554,57707.23413966
15.9066666666667,34624.6809474717,57707.2343035429
15.9075,34624.680947488,57707.2344673785
15.9083333333333,34624.6809475043,57707.2346311668
15.9091666666667,34624.6809475206,57707.2347949078
15.91,34624.6809475369,57707.2349586015
15.9108333333333,34624.6809475531,57707.235122248
15.9116666666667,34624.6809475694,57707.2352858472
15.9125,34624.6809475856,57707.2354493991
15.9133333333333,34624.6809476019,57707.2356129039
15.9141666666667,34624.6809476181,57707.2357763614
15.915,34624.6809476344,57707.2359397717
15.9158333333333,34624.6809476506,57707.2361031348
15.9166666666667,34624.6809476668,57707.2362664508
15.9175,34624.680947683,57707.2364297196
15.9183333333333,34624.6809476992,57707.2365929412
15.9191666666667,34624.6809477154,57707.2367561157
15.92,34624.6809477316,57707.2369192431
15.9208333333333,34624.6809477478,57707.2370823234
15.9216666666667,34624.6809477639,57707.2372453566
15.9225,34624.6809477801,57707.2374083428
15.9233333333333,34624.6809477962,57707.2375712818
15.9241666666667,34624.6809478124,57707.2377341738
15.925,34624.6809478285,57707.2378970188
15.9258333333333,34624.6809478446,57707.2380598167
